"regionID","parentRegionID","regionHZ","regionPY","VariantName","PresentdayEquivalent","PresentdayEquivalentPY"
188,145,"全州","Quanzhou","","廣西全州","Guangxi Quanzhou"
189,1,"香山","Xiangshan","","廣東中山","Guangdong Zhongshan"
190,115,"順天","Shuntian","","北京","Beijing"
191,115,"大興","Daxing","","北京大興","Beijing Daxing"
192,172,"漢陽","Hanyang","","湖北武漢","Hubei Wuhan"
193,135,"永新","Yongxin","","江西永新","Jiangxi Yongxin"
194,135,"星子","Xingzi","","江西星子","Jiangxi Xingzi"
195,20,"閩侯","Minhou","","福建閩侯","Fujian Minhou"
196,115,"宛平","Wanping","","北京豐臺","Beijing Fengtai"
197,548,"漢軍","Hanjun","","遼寧遼陽","Liaoning Liaoyang"
199,135,"崇仁","Chongren","","江西崇仁","Jiangxi Chongren"
200,91,"全椒","Quanjiao","","安徽全椒","Anhui Quanjiao"
201,145,"桂林","Guilin","","廣西桂林","Guangxi Guilin"
202,126,"新化","Xinhua","","湖南新化","Hunan Xinhua"
1133,3,"彭城","Pengcheng","","江蘇徐州","Jiangsu Xuzhou"
204,126,"祁陽","Qiyang","","湖南祁陽","Hunan Qiyang"
205,91,"天長","Tianchang","","安徽天長","Anhui Tianchang"
206,3,"江都","Jiangdu","","江蘇揚州","Jiangsu Yangzhou"
207,130,"臨縣","Lin Xian","","山西臨縣","Shanxi Lin Xian"
208,135,"南昌","Nanchang","","江西南昌","Jiangxi Nanchang"
209,135,"安義","Anyi","","江西安義","Jiangxi Anyi"
210,143,"安順","Anshun","","貴州安順","Guizhou Anshun"
800,0,"會稽郡(秦)","Kuaiji Jun","","",""
212,3,"南匯","Nanhui","","上海南匯","Shanghai Nanhui"
213,42,"平原","Pingyuan","","山東平原","Shandong Pingyuan"
214,42,"益都","Yidu","","山東青州","Shandong Qingzhou"
215,91,"穎上","Yingshang","","安徽穎上","Anhui Yingshang"
1159,0,"正紅旗漢軍","Zhenghongqi Hanjun","","",""
217,3,"婁縣","Lou Xian","","上海松江","Shanghai Songjiang"
218,42,"安邱","Anqiu","","山東安丘","Shandong Anqiu"
219,44,"仙居","Xianju","","浙江仙居","Zhejiang Xianju"
220,1,"潮州","Chaozhou","","廣東潮州","Guangdong Chaozhou"
221,91,"太湖","Taihu","","安徽太湖","Anhui Taihu"
222,44,"桐廬","Tonglu","","浙江桐廬","Zhejiang Tonglu"
223,3,"金山","Jinshan","","上海金山","Shanghai Jinshan"
224,42,"德州","Dezhou","","山東德州","Shandong Dezhou"
